"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 17","2,470.3","2,431.4","2,484.0","2,407.7","-","1.93%"
"Jun 17","2,423.4","2,415.6","2,453.8","2,405.7","-","0.48%"
"May 17","2,411.8","2,388.5","2,418.7","2,352.7","-","1.16%"
"Apr 17","2,384.2","2,362.3","2,398.2","2,328.9","-","0.91%"
"Mar 17","2,362.7","2,380.1","2,401.0","2,322.3","-","-0.04%"
"Feb 17","2,363.6","2,285.6","2,371.5","2,271.6","-","3.72%"
"Jan 17","2,278.9","2,251.6","2,301.0","2,245.1","-","1.79%"
"Dec 16","2,238.8","2,200.2","2,277.5","2,187.4","-","1.82%"
"Nov 16","2,198.8","2,128.7","2,214.1","2,083.8","-","3.42%"
"Oct 16","2,126.1","2,164.3","2,169.6","2,114.7","-","-1.94%"
"Sep 16","2,168.3","2,171.3","2,187.9","2,119.1","-","-0.12%"
"Aug 16","2,170.9","2,173.1","2,193.8","2,147.6","-","-0.12%"
"Jul 16","2,173.6","2,099.3","2,177.1","2,074.0","-","3.56%"
"Jun 16","2,098.9","2,093.9","2,120.6","1,991.7","-","0.09%"
"May 16","2,097.0","2,067.2","2,103.5","2,025.9","-","1.53%"
"Apr 16","2,065.3","2,056.6","2,111.1","2,033.8","-","0.27%"
"Mar 16","2,059.7","1,937.1","2,072.2","1,937.1","-","6.60%"
"Feb 16","1,932.2","1,936.9","1,963.0","1,810.1","-","-0.41%"
"Jan 16","1,940.2","2,038.2","2,038.2","1,812.3","-","-5.07%"
"Dec 15","2,043.9","2,082.9","2,104.3","1,993.3","-","-1.75%"
"Nov 15","2,080.4","2,080.8","2,116.5","2,019.4","-","0.05%"
"Oct 15","2,079.4","1,919.7","2,094.3","1,893.7","-","8.30%"
"Sep 15","1,920.0","1,970.1","2,020.9","1,871.9","-","-2.64%"
"Aug 15","1,972.2","2,104.5","2,112.7","1,867.0","-","-6.26%"
"Jul 15","2,103.8","2,067.0","2,132.8","2,044.0","-","1.97%"
"Jun 15","2,063.1","2,108.6","2,129.9","2,056.3","-","-2.10%"
"May 15","2,107.4","2,087.4","2,134.7","2,067.9","-","1.05%"
"Apr 15","2,085.5","2,067.6","2,125.9","2,048.4","-","0.85%"
"Mar 15","2,067.9","2,105.2","2,117.5","2,039.7","-","-1.74%"
"Feb 15","2,104.5","1,996.7","2,119.6","1,980.9","-","5.49%"
"Jan 15","1,995.0","2,058.9","2,072.4","1,988.1","-","-3.10%"
"Dec 14","2,058.9","2,065.8","2,093.6","1,972.6","-","-0.42%"
"Nov 14","2,067.6","2,018.2","2,075.8","2,001.0","-","2.45%"
"Oct 14","2,018.1","1,971.4","2,018.2","1,820.7","-","2.32%"
"Sep 14","1,972.3","2,004.1","2,019.3","1,964.0","-","-1.55%"
"Aug 14","2,003.4","1,929.8","2,005.0","1,904.8","-","3.77%"
"Jul 14","1,930.7","1,962.3","1,991.4","1,930.7","-","-1.51%"
"Jun 14","1,960.2","1,923.9","1,968.2","1,916.0","-","1.91%"
"May 14","1,923.6","1,884.4","1,924.0","1,859.8","-","2.10%"
"Apr 14","1,883.9","1,874.0","1,897.3","1,814.4","-","0.62%"
"Mar 14","1,872.3","1,857.7","1,884.0","1,834.4","-","0.69%"
"Feb 14","1,859.4","1,782.7","1,867.9","1,737.9","-","4.31%"
"Jan 14","1,782.6","1,845.9","1,850.8","1,770.4","-","-3.56%"
"Dec 13","1,848.4","1,806.6","1,849.4","1,768.0","-","2.36%"
"Nov 13","1,805.8","1,758.7","1,813.6","1,746.2","-","2.80%"
"Oct 13","1,756.5","1,682.4","1,775.2","1,646.5","-","4.46%"
"Sep 13","1,681.6","1,635.9","1,729.9","1,633.4","-","2.97%"
"Aug 13","1,633.0","1,689.4","1,709.7","1,627.5","-","-3.13%"
"Jul 13","1,685.7","1,609.8","1,698.8","1,604.6","-","4.95%"
"Jun 13","1,606.3","1,631.7","1,654.2","1,560.3","-","-1.50%"
"May 13","1,630.7","1,597.6","1,687.2","1,581.3","-","2.08%"
"Apr 13","1,597.6","1,569.2","1,597.6","1,536.0","-","1.81%"
"Mar 13","1,569.2","1,514.7","1,570.3","1,501.5","-","3.60%"
"Feb 13","1,514.7","1,498.1","1,530.9","1,485.0","-","1.11%"
"Jan 13","1,498.1","1,426.2","1,509.9","1,426.2","-","5.04%"
"Dec 12","1,426.2","1,416.3","1,448.0","1,398.1","-","0.71%"
"Nov 12","1,416.2","1,412.2","1,434.3","1,343.3","-","0.28%"
"Oct 12","1,412.2","1,440.9","1,471.0","1,403.3","-","-1.98%"
"Sep 12","1,440.7","1,406.5","1,474.5","1,396.6","-","2.42%"
"Aug 12","1,406.6","1,379.3","1,426.7","1,354.7","-","1.98%"
"Jul 12","1,379.3","1,362.3","1,391.7","1,325.4","-","1.26%"
"Jun 12","1,362.2","1,309.9","1,363.5","1,266.7","-","3.96%"
"May 12","1,310.3","1,397.9","1,415.3","1,292.0","-","-6.27%"
"Apr 12","1,397.9","1,408.5","1,422.4","1,357.4","-","-0.75%"
"Mar 12","1,408.5","1,365.9","1,419.2","1,340.0","-","3.13%"
"Feb 12","1,365.7","1,312.4","1,378.0","1,312.4","-","4.06%"
"Jan 12","1,312.4","1,258.9","1,333.5","1,258.9","-","4.36%"
"Dec 11","1,257.6","1,246.9","1,269.4","1,202.4","-","0.85%"
"Nov 11","1,247.0","1,251.0","1,277.6","1,158.7","-","-0.51%"
"Oct 11","1,253.3","1,131.2","1,292.7","1,074.8","-","10.77%"
"Sep 11","1,131.4","1,219.1","1,229.3","1,114.2","-","-7.18%"
"Aug 11","1,218.9","1,292.6","1,307.4","1,101.5","-","-5.68%"
"Jul 11","1,292.3","1,320.6","1,356.5","1,282.9","-","-2.15%"
"Jun 11","1,320.6","1,345.2","1,345.2","1,258.1","-","-1.83%"
"May 11","1,345.2","1,365.2","1,370.6","1,311.8","-","-1.35%"
"Apr 11","1,363.6","1,329.5","1,364.6","1,294.7","-","2.85%"
