Date,Open,High,Low,Close,Volume
1999-09-30,2396.87,2551.66,2345.22,2407.9,3678187930
1999-10-31,2407.7,2651.12,2299.95,2637.44,3911201726
1999-11-30,2637.04,3151.77,2612.39,2966.71,4957594827
1999-12-31,2970.04,3750.41,2956.79,3707.83,5385553448
2000-01-31,3755.74,3905.1,3314.75,3570.05,5762251725
2000-02-29,3580.29,4297.46,3544.93,4266.94,6145637931
2000-03-31,4275.72,4816.35,4049.98,4397.84,7448360345
2000-04-30,4355.7,4355.7,3107.42,3773.18,6059994829
2000-05-31,3789.2,3871.93,2897.27,3324.08,5315858620
2000-06-30,3331.8,3990.21,3331.8,3763.79,5750410345
2000-07-31,3763.79,4089.04,3437.59,3609.35,5330363792
2000-08-31,3609.35,4080.48,3341.83,4077.59,5728089653
2000-09-30,4084.11,4147.19,3505.18,3570.61,5987470690
2000-10-31,3613.74,3613.86,2956.2,3282.3,7608450001
2000-11-30,3214.4,3369.47,2426.41,2506.54,6583087932
2000-12-31,2566.68,2990.83,2174.76,2341.7,7646067239
2001-01-31,2341.28,2771.63,2087.32,2593,8517203447
2001-02-28,2586.24,2627.39,1880.47,1908.32,6280696551
2001-03-31,1879.84,2029.01,1530.14,1573.25,7710217242
2001-04-30,1569.66,1981.9,1348.52,1855.15,7353441378
2001-05-31,1854.67,2073.98,1768.62,1799.89,7149267240
2001-06-30,1826.02,1963.83,1655.26,1832.75,6306444826
2001-07-31,1831.42,1864.2,1580.57,1683.61,5657332760
2001-08-31,1713.67,1766.58,1438.91,1469.7,5592646552
2001-09-30,1466.32,1502.67,1088.96,1168.37,5315422415
2001-10-31,1161.74,1487.4,1131.32,1364.78,7566532758
2001-11-30,1381.7,1644.38,1358.72,1596.05,6607712071
2001-12-31,1576.26,1734.58,1557.18,1577.05,6127479311
2002-01-31,1590.71,1710.23,1481.46,1550.17,6740686206
2002-02-28,1544.42,1561.24,1329.93,1359.22,5865981033
2002-03-31,1373.15,1573.42,1370.32,1452.81,5968856897
2002-04-30,1440.38,1481.74,1228.94,1277.07,6663536206
2002-05-31,1273.63,1350.54,1142.25,1208.34,6862553448
2002-06-30,1205.2,1213.18,979.87,1051.41,6316936206
2002-07-31,1044.48,1066.28,869.17,962.1,7799598275
2002-08-31,954.56,1052.49,856.35,942.38,5429441380
2002-09-30,928.5,978.46,825.8,832.52,5005117242
2002-10-31,841.29,1007.72,795.25,989.54,6677613793
2002-11-30,981.24,1134.6,972.34,1116.1,6150629313
2002-12-31,1144.21,1155.68,977.59,984.37,5021143103
2003-01-31,995.64,1104.32,968.34,983.05,5327246551
2003-02-28,987.37,1019.25,938.52,1009.74,4202420690
2003-03-31,1015.87,1099.61,946.79,1018.66,5368446552
2003-04-30,1025.02,1126.58,1015.46,1106.06,5303694826
2003-05-31,1104.38,1201.25,1094.42,1197.89,6624708619
2003-06-30,1210.77,1265.69,1180.01,1201.69,7098446551
2003-07-31,1195.3,1316.42,1180.11,1276.94,6588374134
2003-08-31,1274.61,1344.74,1204.29,1341.2,5223113795
2003-09-30,1347.64,1406.61,1302.26,1303.7,6882272414
2003-10-31,1312.43,1439.97,1306.33,1416.39,7108081031
2003-11-30,1423.13,1453.46,1357.25,1424.25,5870677587
2003-12-31,1434.1,1474.24,1372.87,1467.92,6115668967
2004-01-31,1474.16,1559.47,1458.51,1493.08,7926325863
2004-02-29,1497.78,1524.09,1452.49,1470.38,6105512070
2004-03-31,1476.04,1494.67,1368.08,1438.41,7327155175
2004-04-30,1438.91,1508.37,1401.36,1401.36,6922951724
2004-05-31,1409.06,1469.23,1372.46,1466.22,5629789656
2004-06-30,1457.71,1523.48,1445.21,1516.64,5621050002
2004-07-31,1514.82,1514.82,1359.2,1400.39,6157189656
2004-08-31,1390.21,1408.31,1301.93,1368.68,5314424137
2004-09-30,1363.27,1440.81,1360.58,1412.74,5395703450
2004-10-31,1426.38,1496.98,1416.29,1486.72,6202651726
2004-11-30,1486.25,1593.16,1479.86,1571.5,6539346553
2004-12-31,1578.25,1635.7,1577.77,1621.12,7651710346
2005-01-31,1628.75,1635.45,1480.66,1519.63,7437236206
2005-02-28,1521,1561.17,1489.99,1511.02,6314924139
2005-03-31,1516.63,1552.53,1458.26,1482.53,6858686209
2005-04-30,1491.83,1503.21,1394.36,1420.79,6468608620
2005-05-31,1421.9,1551.12,1415.6,1542.63,5900587929
2005-06-30,1541.73,1568.96,1490.02,1493.52,6327986207
2005-07-31,1497.02,1619.95,1484.18,1605.14,5638329309
2005-08-31,1609.74,1628.57,1551.31,1581.71,5903225861
2005-09-30,1581.23,1619.12,1551.81,1601.66,5998289654
2005-10-31,1603.47,1617.77,1515.42,1579.18,6293258621
2005-11-30,1572.97,1704.42,1570.75,1672.56,6287313793
2005-12-31,1683.39,1716.65,1641.86,1645.2,5934375861
2006-01-31,1654.39,1761.46,1633.62,1710.75,7202624139
2006-02-28,1697.12,1714.28,1637.26,1670.56,6397222413
2006-03-31,1675.92,1720.2,1634.25,1703.66,8201267241
2006-04-30,1715.12,1750.23,1684.35,1700.71,6763358621
2006-05-31,1706.8,1721.13,1554.76,1579.58,7917893104
2006-06-30,1581.08,1626.29,1511.53,1575.23,7485863791
